UniProt ID,Drug IDs
P45059,DB00303
P00488,DB11300
P00488,DB11311
P00488,DB11571
P00488,DB13151
P35228,DB08814
Q13423,DB09092
P50213,DB09092
Q9P0X4,DB00381
Q9P0X4,DB00568
Q9P0X4,DB00617
Q9P0X4,DB00909
Q9P0X4,DB01388
Q9P0X4,DB04841
P30542,DB00193
P30542,DB00201
P30542,DB00277
P30542,DB00640
P30542,DB00651
P30542,DB00806
P30542,DB01223
P30542,DB01303
P30542,DB01412
P00519,DB01254
P00519,DB04868
P00519,DB06616
P00519,DB08896
P00519,DB08901
P00519,DB12323
P12319,DB00043
P12319,DB00895
P00451,DB00055
P00451,DB00100
P00451,DB11300
P00451,DB11312
P00451,DB11571
P00451,DB11572
P00451,DB12872
P00451,DB13133
P00451,DB13151
P00451,DB13152
P00451,DB13933
P00451,DB14700
P23219,DB00154
P23219,DB00159
P23219,DB00244
P23219,DB00316
P23219,DB00586
P23219,DB00788
P23219,DB00795
P23219,DB00812
P23219,DB00870
P23219,DB00936
P23219,DB00939
P23219,DB00945
P23219,DB00991
P23219,DB01014
P23219,DB01050
P23219,DB01283
P23219,DB01397
P23219,DB01399
P23219,DB01600
P23219,DB06725
P23219,DB06736
P23219,DB08814
P23219,DB09212
P23219,DB09215
P23219,DB09216
P23219,DB09288
P23219,DB11079
P23219,DB11201
P23219,DB11323
P23219,DB13346
P23219,DB13783
P0A7V8,DB00256
P0A7V8,DB00453
P0A7V8,DB00595
P0A7V8,DB01017
P0A7V8,DB12329
P21728,DB00353
P21728,DB00477
P21728,DB00508
P21728,DB00623
P21728,DB00679
P21728,DB00800
P21728,DB00850
P21728,DB00875
P21728,DB00988
P21728,DB01038
P21728,DB01186
P21728,DB01235
P21728,DB01239
P21728,DB01608
P21728,DB01614
P21728,DB01621
P21728,DB01623
P21728,DB01624
P35916,DB00398
P35916,DB01268
P35916,DB06589
P35916,DB06626
P35916,DB08896
P35916,DB09078
P35916,DB09079
P51168,DB00384
P51168,DB00594
P02452,DB00048
P02452,DB12872
P02452,DB13133
Q9H4B7,DB00309
Q9H4B7,DB01229
Q9H4B7,DB01248
Q9H4B7,DB06772
P56181,DB09270
P17948,DB00398
P17948,DB01268
P17948,DB06589
P17948,DB06626
P17948,DB08896
P17948,DB09078
P17948,DB09079
P17948,DB10770
Q9UPY5,DB00740
Q9UPY5,DB06151
P06213,DB00030
P06213,DB00046
P06213,DB00047
P06213,DB00071
P06213,DB01306
P06213,DB01307
P06213,DB01309
P06213,DB09129
P06213,DB09564
P9WNL9,DB00330
P04049,DB00398
P04049,DB08896
P04049,DB08912
P12259,DB00055
P12259,DB11300
P12259,DB11312
P12259,DB11571
P12259,DB11572
P12259,DB13149
P12259,DB13151
O00764,DB00147
O00764,DB00165
P24530,DB00559
P24530,DB08932
P20309,DB00185
P20309,DB00332
P20309,DB00383
P20309,DB00387
P20309,DB00496
P20309,DB00505
P20309,DB00517
P20309,DB00572
P20309,DB00725
P20309,DB00767
P20309,DB01036
P20309,DB01062
P20309,DB01085
P20309,DB01231
P20309,DB01409
P20309,DB01591
P20309,DB01625
P20309,DB04843
P20309,DB06702
P20309,DB06709
P20309,DB06787
P20309,DB08897
P20309,DB09076
P20309,DB09089
P20309,DB09167
P20309,DB09262
P20309,DB09300
P20309,DB11181
P20309,DB12278
P20309,DB13581
P20309,DB13720
Q9H2X9,DB00887
P00734,DB00001
P00734,DB00006
P00734,DB00278
P00734,DB04898
P00734,DB05777
P00734,DB06695
P00734,DB09109
P00734,DB09228
P00734,DB11166
P00734,DB12598
P00734,DB12831
P00734,DB13151
P00734,DB14738
P30273,DB00895
P13716,DB00855
P14060,DB01108
P14060,DB01536
P06818,DB00558
P14780,DB00786
P14780,DB01296
P26439,DB01108
P21554,DB00470
P21554,DB00486
P21554,DB06155
P21554,DB09061
P21554,DB09288
P21554,DB11755
P21554,DB14009
P21554,DB14011
P30556,DB00177
P30556,DB00275
P30556,DB00678
P30556,DB00796
P30556,DB00876
P30556,DB00966
P30556,DB01029
P30556,DB01342
P30556,DB01347
P30556,DB01349
P30556,DB08822
P30556,DB09279
P30556,DB11842
P30556,DB13919
P34995,DB00429
P34995,DB00770
P34995,DB00905
P34995,DB00917
P34995,DB00929
P34995,DB01088
P11836,DB00073
P11836,DB00078
P11836,DB00081
P11836,DB06650
P11836,DB08935
P11836,DB09336
P11836,DB11988
P29475,DB01221
P29475,DB09241
P07195,DB09118
O15496,DB13893
O15496,DB13894
Q07869,DB00636
Q07869,DB01039
Q07869,DB01241
Q07869,DB01393
Q07869,DB03756
Q07869,DB08915
Q07869,DB09422
Q07869,DB13873
P10912,DB00052
P10912,DB00082
P10912,DB09098
P00492,DB01033
P28702,DB00210
P28702,DB00307
P28702,DB00459
P28702,DB00523
P28702,DB00755
P28702,DB00799
P28702,DB00926
P28702,DB03756
Q8IWU9,DB12095
P12277,DB00148
P12277,DB13191
P31358,DB00087
Q13639,DB00604
Q13639,DB01079
Q13639,DB01233
Q13639,DB06480
P02792,DB00893
P02792,DB09147
P02792,DB09517
P02792,DB13995
Q12809,DB00204
Q12809,DB00252
Q12809,DB00308
Q12809,DB00489
Q12809,DB01100
Q12809,DB01182
Q12809,DB01218
Q12809,DB04855
Q969P6,DB00762
P11229,DB00185
P11229,DB00202
P11229,DB00219
P11229,DB00245
P11229,DB00332
P11229,DB00354
P11229,DB00376
P11229,DB00383
P11229,DB00387
P11229,DB00392
P11229,DB00411
P11229,DB00424
P11229,DB00462
P11229,DB00505
P11229,DB00508
P11229,DB00517
P11229,DB00572
P11229,DB00670
P11229,DB00725
P11229,DB00747
P11229,DB00767
P11229,DB00771
P11229,DB00782
P11229,DB00804
P11229,DB00810
P11229,DB00942
P11229,DB00979
P11229,DB00986
P11229,DB01036
P11229,DB01062
P11229,DB01085
P11229,DB01148
P11229,DB01231
P11229,DB01233
P11229,DB04843
P11229,DB08897
P11229,DB09089
P11229,DB09167
P11229,DB09262
P11229,DB11181
P11229,DB12278
P11229,DB13581
P34972,DB00486
P34972,DB14011
Q9NS75,DB00716
P44469,DB00303
P44469,DB00671
P35610,DB00973
P35610,DB01094
Q9H244,DB00208
Q9H244,DB00374
Q9H244,DB00758
Q9H244,DB01240
Q9H244,DB06209
Q9H244,DB06441
Q9H244,DB08816
P25021,DB00272
P25021,DB00501
P25021,DB00585
P25021,DB00751
P25021,DB00863
P25021,DB00927
P25021,DB00940
P25021,DB01142
P25021,DB05381
P25021,DB08805
P25021,DB08806
P06746,DB00987
P06149,DB00756
Q16647,DB00812
Q16647,DB01240
Q05940,DB00182
Q05940,DB00206
Q05940,DB00865
Q05940,DB01089
Q05940,DB01363
Q05940,DB01442
Q05940,DB01454
Q05940,DB01472
Q05940,DB01576
Q05940,DB01577
Q05940,DB04844
Q05940,DB06706
Q05940,DB06714
Q05940,DB09363
Q05940,DB12161
O95477,DB01599
P17752,DB00360
P17752,DB12095
P9WNL7,DB00330
P03372,DB00255
P03372,DB00269
P03372,DB00286
P03372,DB00304
P03372,DB00367
P03372,DB00481
P03372,DB00539
P03372,DB00603
P03372,DB00655
P03372,DB00675
P03372,DB00783
P03372,DB00823
P03372,DB00882
P03372,DB00890
P03372,DB00947
P03372,DB00957
P03372,DB00977
P03372,DB01108
P03372,DB01185
P03372,DB01196
P03372,DB01357
P03372,DB01406
P03372,DB04573
P03372,DB04574
P03372,DB04575
P03372,DB04938
P03372,DB06202
P03372,DB06401
P03372,DB09070
P03372,DB09317
P03372,DB09318
P03372,DB09369
P03372,DB13952
P03372,DB13953
P03372,DB13954
P03372,DB13955
P03372,DB13956
P03372,DB14641
P0A7X3,DB00560
P0A7X3,DB00595
P0A7X3,DB01017
P0A7X3,DB01301
P24046,DB00466
P24046,DB01567
P69905,DB00893
P69905,DB06154
P69905,DB09112
P69905,DB09147
P69905,DB13257
P69905,DB13995
P69905,DB14975
P10275,DB00499
P10275,DB00621
P10275,DB00624
P10275,DB00665
P10275,DB00858
P10275,DB00984
P10275,DB01128
P10275,DB01185
P10275,DB01395
P10275,DB01406
P10275,DB01420
P10275,DB01481
P10275,DB01541
P10275,DB01564
P10275,DB04839
P10275,DB06133
P10275,DB06412
P10275,DB06710
P10275,DB06718
P10275,DB08804
P10275,DB08899
P10275,DB09123
P10275,DB11901
P10275,DB12499
P10275,DB12941
P10275,DB13943
P10275,DB13944
P10275,DB13946
P10275,DB14639
P05091,DB00536
P05091,DB00822
P22888,DB00014
P22888,DB00032
P22888,DB00044
P22888,DB00097
P22888,DB06719
P22888,DB09126
Q8WY07,DB13146
P09172,DB00822
P09172,DB00988
P35498,DB00252
P35498,DB00909
P35498,DB01121
P35498,DB01438
P35498,DB04930
P0A3M5,DB01147
P0A3M5,DB01150
P07437,DB00361
P07437,DB00541
P07437,DB00570
P07437,DB01179
P07437,DB01394
P07437,DB06137
P07437,DB11641
P07437,DB11731
P13631,DB00210
P13631,DB00459
P13631,DB00523
P13631,DB00755
P13631,DB00799
P13631,DB00926
P13631,DB12808
P21918,DB00800
P21918,DB00988
P21918,DB01038
P21918,DB01186
P21918,DB01235
P21918,DB01624
Q9H3N8,DB01620
P36888,DB00398
P36888,DB01268
P36888,DB06595
P36888,DB12141
P36888,DB12500
Q9NYK1,DB00724
Q9NYK1,DB01611
Q99720,DB00514
Q99720,DB00574
Q99720,DB00652
Q99720,DB09014
Q99720,DB11186
Q9H3S4,DB00152
Q02218,DB09092
P15692,DB00112
P15692,DB01270
P15692,DB04895
P15692,DB06779
P15692,DB08885
P15692,DB10772
P15692,DB14864
P15692,DB15303
P37288,DB00035
P37288,DB00067
P37288,DB00093
P37288,DB00872
P37288,DB14642
P12532,DB00148
P12532,DB13191
P08588,DB00187
P08588,DB00195
P08588,DB00221
P08588,DB00264
P08588,DB00335
P08588,DB00368
P08588,DB00373
P08588,DB00489
P08588,DB00521
P08588,DB00571
P08588,DB00598
P08588,DB00612
P08588,DB00668
P08588,DB00841
P08588,DB00866
P08588,DB00960
P08588,DB01064
P08588,DB01102
P08588,DB01136
P08588,DB01193
P08588,DB01203
P08588,DB01210
P08588,DB01214
P08588,DB01295
P08588,DB01297
P08588,DB01359
P08588,DB01363
P08588,DB01364
P08588,DB01580
P08588,DB04846
P08588,DB04861
P08588,DB06262
P08588,DB08807
P08588,DB08808
P08588,DB09204
P08588,DB09351
P08588,DB11124
P08588,DB11278
P08588,DB13781
P31040,DB09270
Q9Y5Y9,DB00281
Q9Y5Y9,DB00296
Q9Y5Y9,DB00297
Q9Y5Y9,DB00527
Q9Y5Y9,DB00645
Q9Y5Y9,DB00721
Q9Y5Y9,DB00807
Q9Y5Y9,DB00892
Q9Y5Y9,DB00961
Q9Y5Y9,DB01002
Q9Y5Y9,DB01086
Q9Y5Y9,DB01161
P23786,DB01074
O76074,DB00203
O76074,DB00277
O76074,DB00820
O76074,DB00862
O76074,DB00975
O76074,DB06237
O76074,DB06267
P20273,DB05889
P20273,DB12688
P48637,DB06151
P9WGY7,DB01201
P37088,DB00384
P37088,DB00594
Q9UI33,DB00909
P48448,DB09116
P14061,DB01536
Q14524,DB00192
Q14524,DB00252
Q14524,DB00280
Q14524,DB00281
Q14524,DB00379
Q14524,DB00473
Q14524,DB00527
Q14524,DB00532
Q14524,DB00680
Q14524,DB00740
Q14524,DB00750
Q14524,DB00754
Q14524,DB00908
Q14524,DB00909
Q14524,DB01056
Q14524,DB01182
Q14524,DB01195
Q14524,DB01228
Q14524,DB01320
Q14524,DB01346
Q14524,DB01426
Q14524,DB01429
Q14524,DB04855
Q14524,DB06217
P30968,DB00007
P30968,DB00014
P30968,DB00050
P30968,DB00106
P30968,DB00644
P30968,DB00666
P30968,DB01406
P30968,DB05624
P30968,DB06699
P30968,DB06719
P30968,DB06785
P30968,DB06788
P30968,DB06825
P09619,DB00102
P09619,DB00398
P09619,DB01268
P09619,DB06589
P09619,DB06595
P09619,DB08896
P09619,DB09079
P09619,DB14840
P10826,DB00210
P10826,DB00459
P10826,DB00523
P10826,DB00799
P10826,DB00926
P10826,DB04942
Q09428,DB00222
Q09428,DB00672
Q09428,DB00731
Q09428,DB00912
Q09428,DB01067
Q09428,DB01120
Q09428,DB01124
Q09428,DB01251
Q09428,DB01252
O95069,DB00204
O95069,DB04855
P00747,DB00009
P00747,DB00013
P00747,DB00015
P00747,DB00029
P00747,DB00031
P00747,DB00086
P00747,DB00302
P00747,DB00513
P00747,DB12831
P37231,DB00159
P37231,DB00197
P37231,DB00244
P37231,DB00412
P37231,DB00795
P37231,DB00966
P37231,DB01014
P37231,DB01132
P37231,DB01393
P37231,DB03756
P37231,DB05490
P37231,DB08915
P37231,DB09198
P37231,DB11133
P00742,DB00025
P00742,DB00100
P00742,DB00569
P00742,DB01109
P00742,DB01225
P00742,DB06228
P00742,DB06605
P00742,DB09075
P00742,DB09109
P00742,DB09258
P00742,DB11166
P00742,DB12364
P00742,DB12598
P00742,DB13149
P00742,DB13150
P00742,DB13151
P00742,DB13152
P00742,DB13192
P00742,DB13884
P00742,DB13923
P00742,DB13933
P00742,DB13998
P00742,DB13999
P00742,DB14738
Q9UBS5,DB00837
Q9UBS5,DB01956
Q9UBS5,DB08891
Q9UBS5,DB08892
P98194,DB00753
P98194,DB01236
P98194,DB01373
P12821,DB00178
P12821,DB00492
P12821,DB00519
P12821,DB00542
P12821,DB00584
P12821,DB00691
P12821,DB00722
P12821,DB00790
P12821,DB00881
P12821,DB01180
P12821,DB01197
P12821,DB01340
P12821,DB01348
P12821,DB09477
P12821,DB13166
P12821,DB15565
P07327,DB01213
P54710,DB00606
P55157,DB01094
P55157,DB08827
P10613,DB00196
P10613,DB00239
P10613,DB00251
P10613,DB00257
P10613,DB00582
P10613,DB01007
P10613,DB01110
P10613,DB01127
P10613,DB01153
P10613,DB01263
P10613,DB04794
P10613,DB08933
Q15758,DB13146
P06858,DB06439
P06858,DB09568
P06858,DB13751
P05121,DB00013
P29275,DB00201
P29275,DB00277
P29275,DB00640
P29275,DB00824
P10415,DB01229
P10415,DB01367
P10415,DB11581
P08912,DB00572
P08912,DB00725
P08912,DB00767
P08912,DB01036
P08912,DB08897
P08912,DB09167
P08912,DB11181
P08912,DB12278
P08912,DB13581
P09917,DB00179
P09917,DB00244
P09917,DB00711
P09917,DB00744
P09917,DB00795
P09917,DB00939
P09917,DB01014
P30531,DB00906
P00491,DB00242
P14679,DB00548
P14679,DB09526
P14679,DB11217
P80404,DB01080
Q9Y478,DB00331
P0A8V2,DB00615
P0A8V2,DB01045
P0A8V2,DB01220
P0A8V2,DB11753
P35354,DB00154
P35354,DB00159
P35354,DB00244
P35354,DB00316
P35354,DB00328
P35354,DB00461
P35354,DB00465
P35354,DB00469
P35354,DB00482
P35354,DB00500
P35354,DB00533
P35354,DB00554
P35354,DB00573
P35354,DB00580
P35354,DB00586
P35354,DB00605
P35354,DB00712
P35354,DB00749
P35354,DB00784
P35354,DB00788
P35354,DB00795
P35354,DB00812
P35354,DB00814
P35354,DB00821
P35354,DB00861
P35354,DB00870
P35354,DB00936
P35354,DB00939
P35354,DB00945
P35354,DB00963
P35354,DB00991
P35354,DB01009
P35354,DB01014
P35354,DB01050
P35354,DB01283
P35354,DB01397
P35354,DB01399
P35354,DB01600
P35354,DB01628
P35354,DB04552
P35354,DB04743
P35354,DB06725
P35354,DB06736
P35354,DB08439
P35354,DB08910
P35354,DB09212
P35354,DB09213
P35354,DB09215
P35354,DB09216
P35354,DB09288
P35354,DB11079
P35354,DB11201
P35354,DB11323
P35354,DB13167
P35354,DB13346
P35354,DB13783
P35354,DB13961
P29474,DB00360
P08473,DB00616
P08473,DB00886
P08473,DB09292
P08473,DB11623
P00915,DB00310
P00915,DB00311
P00915,DB00703
P00915,DB00819
P00915,DB00869
P00915,DB00880
P00915,DB01031
P00915,DB01119
P00915,DB01144
P00915,DB01325
P00915,DB09472
P00797,DB00212
P00797,DB09026
P07766,DB00075
P07766,DB06607
P0A7S3,DB00452
P0A7S3,DB00479
P0A7S3,DB00560
P0A7S3,DB00684
P0A7S3,DB00798
P0A7S3,DB00919
P0A7S3,DB00955
P0A7S3,DB00994
P0A7S3,DB01082
P0A7S3,DB01172
P0A7S3,DB04729
P0A7S3,DB06696
P01008,DB00407
P01008,DB00569
P01008,DB01109
P01008,DB01225
P01008,DB06271
P01008,DB06754
P01008,DB06779
P01008,DB06822
P01008,DB08813
P55011,DB00214
P55011,DB00887
P55011,DB01325
P10875,DB00400
P08913,DB00368
P08913,DB00370
P08913,DB00449
P08913,DB00484
P08913,DB00575
P08913,DB00629
P08913,DB00633
P08913,DB00668
P08913,DB00692
P08913,DB00852
P08913,DB00865
P08913,DB00925
P08913,DB00935
P08913,DB00964
P08913,DB00968
P08913,DB01018
P08913,DB01363
P08913,DB01392
P08913,DB01472
P08913,DB01577
P08913,DB01608
P08913,DB04855
P08913,DB04948
P08913,DB06262
P08913,DB06694
P08913,DB06711
P08913,DB09242
P08913,DB11124
P08913,DB11278
Q5T1J1,DB00514
Q5T1J1,DB00704
P08908,DB00246
P08908,DB00247
P08908,DB00477
P08908,DB00490
P08908,DB00656
P08908,DB00669
P08908,DB00866
P08908,DB00952
P08908,DB01149
P08908,DB01359
P08908,DB01614
P08908,DB01616
P08908,DB01621
P08908,DB01622
P08908,DB04908
P08908,DB06016
P08908,DB08810
P08908,DB08922
P08908,DB09068
P08908,DB09128
P08908,DB09167
P08908,DB11755
P08908,DB14185
P30518,DB00035
P30518,DB00067
P30518,DB00872
P30518,DB02638
P30518,DB06212
P30518,DB14642
P06715,DB00336
P00807,DB09324
Q02641,DB00308
Q02641,DB00393
Q02641,DB01388
Q02641,DB04855
P04293,DB00194
P04293,DB00299
P04293,DB00426
P04293,DB00529
P04293,DB00577
P04293,DB00787
P04293,DB01004
P04293,DB13896
P46098,DB00377
P46098,DB00604
P46098,DB00721
P46098,DB00757
P46098,DB00889
P46098,DB00904
P46098,DB00969
P46098,DB01199
P46098,DB01221
P46098,DB01233
P46098,DB09068
P46098,DB11699
P24024,DB00718
P24024,DB13868
P10828,DB00279
P10828,DB00451
P10828,DB00509
P10828,DB01583
Q99714,DB09568
P47872,DB09532
P00918,DB00273
P00918,DB00311
P00918,DB00703
P00918,DB00819
P00918,DB00869
P00918,DB00880
P00918,DB01031
P00918,DB01119
P00918,DB01144
P00918,DB01194
P00918,DB01325
P00918,DB09472
P04818,DB00293
P04818,DB00322
P04818,DB00432
P04818,DB00544
P04818,DB00563
P04818,DB00642
P04818,DB01101
P04818,DB06813
P04818,DB09256
P04818,DB09327
P23921,DB00242
P23921,DB00441
P23921,DB00631
P23921,DB01005
P23921,DB01073
P49286,DB00980
P49286,DB01065
P49286,DB06594
P49286,DB09071
P28845,DB13751
P00374,DB00205
P00374,DB00563
P00374,DB00642
P00374,DB01131
P00374,DB01157
P00374,DB06813
P34896,DB01055
P9WGR1,DB00609
P9WGR1,DB00951
P08709,DB00100
P08709,DB13151
P08709,DB13152
P08709,DB13933
P18314,DB00551
P18314,DB05265
P02766,DB11644
P18825,DB00368
P18825,DB00484
P18825,DB00575
P18825,DB01363
P18825,DB01392
P18825,DB01577
P18825,DB04855
P18825,DB06262
P18825,DB08838
P18825,DB09128
P18825,DB11124
P08546,DB00369
P08546,DB00529
P05093,DB01026
P05093,DB05812
P16471,DB00052
P20648,DB00213
P20648,DB00338
P20648,DB00448
P20648,DB00736
P20648,DB01129
P20648,DB05351
P0DMS8,DB00201
P0DMS8,DB00640
P0DMS8,DB01223
O00555,DB01244
Q9UM73,DB08865
Q9UM73,DB09063
Q9UM73,DB11363
Q9UM73,DB12130
Q9UM73,DB12141
Q9UM73,DB12267
P00740,DB00025
P00740,DB09109
P00740,DB13150
P00740,DB13192
P00740,DB13923
P00740,DB13998
P00740,DB13999
P00740,DB14738
Q05586,DB01173
Q05586,DB08838
Q05586,DB08954
P43700,DB00218
P43700,DB00365
P43700,DB00467
P43700,DB00487
P43700,DB00537
P43700,DB00685
P43700,DB00827
P43700,DB00978
P43700,DB01059
P43700,DB01137
P43700,DB01155
P43700,DB01165
P43700,DB01208
P43700,DB01405
P43700,DB04576
P43700,DB06771
P43700,DB09047
P43700,DB12924
P43116,DB00770
P43116,DB00917
P43116,DB00929
P43116,DB09211
P35968,DB00398
P35968,DB01268
P35968,DB05578
P35968,DB06589
P35968,DB06595
P35968,DB06626
P35968,DB08875
P35968,DB08896
P35968,DB09078
P35968,DB09079
P35968,DB14840
Q969G6,DB00140
P48029,DB00148
P48029,DB13191
Q16836,DB09568
P49069,DB00091
P04070,DB00464
P04070,DB13149
P47869,DB00241
P47869,DB00306
P47869,DB00312
P47869,DB00371
P47869,DB00418
P47869,DB00463
P47869,DB00599
P47869,DB00794
P47869,DB00849
P47869,DB01198
P47869,DB01346
P47869,DB01351
P47869,DB01352
P47869,DB01353
P47869,DB01354
P47869,DB01355
P47869,DB01483
P47869,DB01496
P47869,DB01567
P47869,DB13994
Q02127,DB01097
P25103,DB00673
P25103,DB09048
P25103,DB09291
P25103,DB14019
P48551,DB00008
P48551,DB00011
P48551,DB00018
P48551,DB00022
P48551,DB00034
P48551,DB00060
P48551,DB00068
P48551,DB00069
P48551,DB00105
P48551,DB06152
P23945,DB00032
P23945,DB00066
P23945,DB00094
P23945,DB00097
P23945,DB04786
P23945,DB09066
P21917,DB00413
P21917,DB00589
P21917,DB00714
P21917,DB00988
P21917,DB01186
P21917,DB01235
P21917,DB01267
P21917,DB04908
P21917,DB05271
P60880,DB00083
P41595,DB00247
P41595,DB00508
P41595,DB00805
P41595,DB01242
P41595,DB06016
P08246,DB00058
O15399,DB01173
Q53I07,DB00109
P02794,DB00893
P02794,DB13995
P00325,DB01213
P32238,DB00403
